id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
5461,Odise Roshi,FK Akhmat,-,0.0138,0.9077,0.0432,0.0,0.1459,-,-,-,-,0.0,-,-,-,-,-,-,-,1.1106
2763,Anton Terekhov,Dinamo Moscow,-,-,0.0,0.0,-,-,-,-,-,0.0,-,-,0.5528,0.0,-,0.0,0.5566,-,1.1094
2450,Wanderson,FC Krasnodar,0.2423,0.1429,0.1732,-,0.0602,0.2471,-,0.1825,-,-,-,-,-,-,-,0.0,0.0295,-,1.0777
7655,Carl Starfelt,Rubin Kazan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1044,0.4121,0.0,0.1318,0.0,0.4256,0.0,-,0.0,0.0,-,1.0739
6910,Igor Diveev,CSKA Moscow,0.0981,0.0478,0.0312,0.0749,0.0546,0.0,-,-,-,-,0.6011,0.0,0.0507,0.0,0.0,0.0573,0.0501,-,1.0658
2881,Alan Dzagoev,CSKA Moscow,0.6596,0.0278,-,-,-,-,-,-,-,0.0,0.0271,0.0,0.0224,0.0199,-,-,0.2905,-,1.0473
541,Victor Moses,Spartak Moscow,-,-,-,-,-,-,-,-,-,-,0.3839,0.4289,0.0288,0.0,0.0304,0.1417,0.0286,-,1.0423
9153,Filip Mrzljak,FC Ufa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0179,0.5177,0.506,-,1.0416
7679,Kaio,FC Krasnodar,0.0441,0.4977,0.0,0.2073,-,0.0857,-,0.0,0.0,0.009,0.0433,0.0,0.0,0.0,-,0.0579,0.0884,-,1.0334
2593,Bojan Jokic,FC Ufa,0.0,0.0,0.0,-,-,-,0.0,0.0,0.3187,0.0,0.0186,0.0,0.0,0.0,0.6168,-,-,-,0.9541
2930,Ari,FC Krasnodar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.073,0.035,0.8372,-,0.9452
5940,Sergey Terekhov,PFC Sochi,0.0,0.1427,0.0332,0.0249,0.0,0.0116,0.0,0.061,0.0,-,0.0353,0.0346,0.1026,0.4288,0.0649,0.0,-,-,0.9396
5954,Eldor Shomurodov,FC Rostov,0.0,0.112,0.0778,0.11,0.0,0.29,0.0348,-,0.3127,-,-,-,-,-,-,-,-,-,0.9373
6586,Andrey Egorychev,Ural,0.0,0.0,0.4162,0.0986,0.04,0.0,0.0,-,0.0419,0.0,0.0541,0.0876,0.1404,0.0529,-,-,0.0,-,0.9317
8368,Kirill Zaika,PFC Sochi,0.1483,0.0304,-,0.2309,0.0394,0.0,-,0.0,0.0,-,0.3248,0.0162,0.1306,-,-,-,0.0,-,0.9206
7477,Maksim Glushenkov,Spartak Moscow,0.4888,0.0975,0.0671,0.0,0.2593,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9127
2814,Denis Glushakov,Khimki,-,-,-,-,-,-,-,-,-,0.0887,0.1686,0.0,0.1475,0.0926,0.0,0.1924,0.1246,0.0981,0.9125
2920,Sergei Petrov,FC Krasnodar,0.0171,0.0425,0.3978,0.0,0.0,0.0809,-,0.1074,0.1806,-,0.0605,-,-,-,-,-,-,-,0.8868
5460,Wilker Ángel,FK Akhmat,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.8545,0.0,0.0319,0.0,-,-,0.8864
5286,Douglas Santos,Zenit St. Petersburg,0.0,0.0,0.0,0.2215,0.0564,0.0,0.0,0.0095,0.0,0.0221,0.0313,0.0142,0.0097,0.0463,0.0,-,0.4724,-,0.8834
7471,Baktiyor Zainutdinov,CSKA Moscow,-,-,-,-,0.1404,0.0219,0.0,0.0,0.0795,0.2731,0.0302,0.0,0.0193,0.0,0.0,0.1284,0.1897,-,0.8825
3813,Luka Djordjevic,Arsenal Tula,-,-,-,-,-,-,-,-,-,-,0.0,0.6047,0.1279,0.0749,0.0,0.0,-,0.0736,0.8811
8017,Alex Kral,Spartak Moscow,0.0524,0.3836,0.0,0.016,0.0178,0.0,0.0,0.0632,0.0,0.0121,0.0,0.0,0.0,0.0345,0.0185,0.1382,0.1402,-,0.8765
7470,Mathias Normann,FC Rostov,0.0546,0.0812,0.0316,0.0478,0.0807,0.0756,0.1498,-,0.1018,0.2024,-,-,-,-,0.028,-,0.0,-,0.8535
7475,Ayrton Lucas,Spartak Moscow,0.0765,0.219,0.0539,0.0158,0.034,0.0379,0.0344,0.0117,0.0856,0.0324,0.0,0.0759,0.0,0.1339,0.0203,-,0.0146,-,0.8459
9049,Konstantin Tyukavin,Dinamo Moscow,-,-,-,-,-,-,-,-,-,-,-,-,0.0724,0.6251,0.0,0.0365,0.1065,-,0.8405
7196,Roman Evgeniev,Dinamo Moscow,0.011,0.0798,0.0,0.0,0.0,0.0,0.0102,0.0,0.0837,0.0,0.0,-,0.1208,0.5179,0.0,0.0,0.0,-,0.8234
7678,Soltmurad Bakaev,Rubin Kazan,0.0287,0.0556,0.0976,0.4116,0.0293,-,0.0519,0.0,0.0,0.0,0.0,0.0,0.1375,0.0,0.0,0.0,0.0,-,0.8122
7630,Kings Kangwa,Arsenal Tula,0.0713,0.0498,-,0.024,0.0461,0.0178,0.0872,0.0,0.0,0.0166,0.0917,0.0,0.0431,0.0398,-,0.0,0.3206,-,0.808
