id,name,team,1,2,3,total
6170,André Silva,Eintracht Frankfurt,1.4025,0.238,1.8906,3.5311
337,Leroy Sané,Bayern Munich,2.8793,0.5049,-,3.3842
956,Andrej Kramaric,Hoffenheim,1.941,1.0674,0.348,3.3564
158,Bas Dost,Eintracht Frankfurt,0.8922,0.2342,2.1631,3.2895
993,Serge Gnabry,Bayern Munich,2.143,0.4715,0.5425,3.157
223,Joshua Kimmich,Bayern Munich,2.2692,0.4706,0.3343,3.0741
224,Thomas Müller,Bayern Munich,1.3658,0.8397,0.8279,3.0334
227,Robert Lewandowski,Bayern Munich,0.9658,0.0476,1.6772,2.6906
7080,Matheus Cunha,Hertha Berlin,1.32,0.6988,0.5868,2.6056
5249,Emil Forsberg,RasenBallsport Leipzig,1.2436,0.5721,0.6771,2.4928
6145,Daichi Kamada,Eintracht Frankfurt,0.2649,0.2728,1.6356,2.1733
8260,Erling Haaland,Borussia Dortmund,0.6453,0.546,0.9035,2.0948
1040,Angelino,RasenBallsport Leipzig,0.7049,0.0743,1.3141,2.0933
171,Michael Gregoritsch,Augsburg,0.8129,0.0,1.2708,2.0837
8812,Sasa Kalajdzic,VfB Stuttgart,0.1535,1.6369,0.1892,1.9796
188,Kevin Kampl,RasenBallsport Leipzig,0.5746,0.5006,0.8328,1.908
8807,Silas Wamangituka,VfB Stuttgart,0.8752,0.8414,0.1236,1.8402
254,Steven Zuber,Eintracht Frankfurt,0.2642,0.3781,1.1166,1.7589
7883,Marcus Ingvartsen,Union Berlin,0.6739,0.092,0.9925,1.7584
161,Robin Knoche,Union Berlin,0.791,0.1912,0.7498,1.732
7422,Christoph Baumgartner,Hoffenheim,1.1491,0.3068,0.2536,1.7095
157,Daniel Caligiuri,Augsburg,0.3129,0.595,0.7827,1.6906
3743,Lucas Tousart,Hertha Berlin,1.0135,0.541,0.1221,1.6766
5706,Dodi Lukebakio,Hertha Berlin,0.9692,0.5472,0.1134,1.6298
7876,Christopher Lenz,Union Berlin,0.7807,0.1629,0.6168,1.5604
