id,name,team,1,2,3,4,5,6,7,8,9,total
2125,Ander Capa,Athletic Club,0.1074,0.1938,0.0362,0.0418,0.0,0.2158,0.2036,0.0674,-,0.866
6226,Iván Alejo,Cadiz,0.0442,0.0,-,0.1373,0.675,-,-,0.0,-,0.8565
7330,Uros Racic,Valencia,0.294,-,0.0577,-,-,0.0254,0.0166,0.3426,0.1171,0.8534
6570,Óscar Rodríguez,Sevilla,0.6703,0.0316,-,-,0.1454,-,-,-,-,0.8473
7859,Sergio Herrera,Osasuna,0.0,0.2735,0.0368,0.0,0.3471,0.1202,0.0441,0.0212,-,0.8429
6126,Ander Guevara,Real Sociedad,-,0.0881,0.0275,0.0482,0.0,0.0656,-,0.6131,-,0.8425
2282,Sergi Gómez,Sevilla,0.7707,-,-,0.0704,0.0,-,-,-,-,0.8411
2537,Sandro Ramírez,SD Huesca,-,-,-,-,-,0.2885,0.0763,0.3882,0.0525,0.8055
5128,Oier,Osasuna,0.3491,0.0348,0.0271,0.2335,0.0,0.0,0.1308,0.0212,-,0.7965
6433,Jules Koundé,Sevilla,-,0.2892,0.1374,-,-,0.1487,0.2184,-,-,0.7937
5136,Estupiñán,Villarreal,-,0.2578,0.0387,0.3671,0.047,-,-,0.0738,0.0,0.7844
5095,Sergio León,Levante,0.0733,-,-,-,-,-,0.1767,0.534,-,0.784
5062,Yeray Álvarez,Athletic Club,0.0773,-,-,-,0.2581,0.2136,0.0856,0.1491,-,0.7837
7893,Héctor Herrera,Atletico Madrid,-,-,0.0157,0.0,0.0378,0.4993,0.2273,-,-,0.7801
5162,Nacho Vidal,Osasuna,0.1605,0.039,0.519,0.0,0.0,0.0328,0.0,0.0281,-,0.7794
2261,Jan Oblak,Atletico Madrid,0.0,0.0,0.0,0.0719,0.0,0.08,0.6247,-,-,0.7766
1003,Pablo Maffeo,SD Huesca,0.3057,0.0114,-,-,-,0.0732,0.0,0.3827,-,0.773
2475,Jaume,Valencia,0.0161,0.0,0.0577,0.6514,0.0,0.0,0.0,0.0,0.0466,0.7718
6076,Nemanja Maksimovic,Getafe,0.207,0.2019,0.0092,0.0,0.1173,0.0557,0.0779,0.0996,-,0.7686
7605,Manuel Sánchez,Atletico Madrid,-,-,-,0.7579,-,-,-,-,-,0.7579
5141,Unai García,Osasuna,-,-,-,0.0,-,0.0,0.6342,0.1206,-,0.7548
6919,Toni Villa,Real Valladolid,-,-,0.4243,0.0158,0.0673,0.0525,0.0656,0.1259,-,0.7514
