id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,total
5081,Edu Expósito,Eibar,0.0,0.0713,0.0207,0.0606,0.0,-,0.0,0.0598,0.0,0.4408,0.0,0.1384,-,0.7916
7871,Borja Sainz,Alaves,-,0.5713,0.0,0.0299,-,0.0836,0.1065,-,0.0,0.0,0.0,-,-,0.7913
5141,Unai García,Osasuna,-,-,-,0.0,-,0.0,0.6342,0.1206,0.0206,0.0141,-,-,-,0.7895
2475,Jaume,Valencia,0.0161,0.0,0.0577,0.6514,0.0,0.0,0.0,0.0,0.0466,0.0,0.0,0.0,-,0.7718
2226,Zaldúa,Real Sociedad,-,-,-,-,-,-,-,-,0.5419,0.1135,0.1005,0.015,-,0.7709
8711,Miguel Baeza,Celta Vigo,0.0,0.0,0.0334,0.0688,0.0131,-,-,0.053,-,-,0.5933,0.0,-,0.7616
2356,Roque Mesa,Real Valladolid,-,-,-,-,-,-,0.0528,-,-,-,-,0.138,0.5706,0.7614
4193,Aitor Fernández,Levante,0.0754,0.0,0.0,0.1446,-,0.1456,0.2743,0.0577,0.0591,-,0.0,-,-,0.7567
8849,Alberto Perea,Cadiz,-,-,-,-,0.5209,-,0.0,-,0.044,0.0,0.1909,0.0,-,0.7558
4091,Unai López,Athletic Club,0.0773,0.0,0.0173,0.3064,0.0,0.1946,0.0259,0.1101,-,-,0.0204,-,-,0.752
8737,Jens Jonsson,Cadiz,0.029,0.0,0.484,0.0,0.0849,0.0655,0.0697,0.0,0.0,0.0,0.0187,0.0,-,0.7518
7834,Manu Vallejo,Valencia,0.0,0.0,0.0,0.0,0.0,0.0,0.6722,-,-,0.0505,0.0,0.0242,-,0.7469
5234,Jesús Vallejo,Granada,-,0.4709,0.0,0.1639,0.0577,0.0,0.0495,-,-,0.0,-,-,-,0.742
6570,Óscar Rodríguez,Sevilla,0.6703,0.0316,-,-,0.0,-,-,0.0,0.0224,-,-,-,-,0.7243
8735,Salvi Sánchez,Cadiz,0.0289,0.0,0.0,0.0,0.0406,0.4104,0.0697,0.0,0.0764,0.0,0.097,-,-,0.723
488,Philippe Coutinho,Barcelona,0.1661,0.0,0.0352,0.0,0.3964,-,-,0.019,0.0444,0.0567,-,-,-,0.7178
7233,Joaquín Fernández,Real Valladolid,0.1024,0.0393,-,-,-,0.0,0.1311,0.1094,0.0,0.0342,0.0731,-,0.2139,0.7034
